Loan_ID,Gender,Married,Dependents,Education,Self_Employed
LP002065,Male,Yes,3+,Graduate,No
LP002067,Male,Yes,1,Graduate,Yes
LP002068,Male,No,0,Graduate,No
LP002082,Male,Yes,0,Graduate,Yes
LP002086,Female,Yes,0,Graduate,No
LP002087,Female,No,0,Graduate,No
LP002097,Male,No,1,Graduate,No
LP002098,Male,No,0,Graduate,No
LP002100,Male,No,,Graduate,No
LP002101,Male,Yes,0,Graduate,No
LP002103,Male,Yes,1,Graduate,Yes
LP002106,Male,Yes,,Graduate,Yes
LP002110,Male,Yes,1,Graduate,No
LP002112,Male,Yes,2,Graduate,Yes
LP002113,Female,No,3+,Not Graduate,No
LP002114,Female,No,0,Graduate,No
LP002115,Male,Yes,3+,Not Graduate,No
LP002116,Female,No,0,Graduate,No
LP002119,Male,Yes,1,Not Graduate,No
LP002126,Male,Yes,3+,Not Graduate,No
LP002128,Male,Yes,2,Graduate,No
LP002129,Male,Yes,0,Graduate,No
LP002130,Male,Yes,,Not Graduate,No
LP002131,Male,Yes,2,Not Graduate,No
LP002137,Male,Yes,0,Graduate,No
LP002138,Male,Yes,0,Graduate,No
LP002139,Male,Yes,0,Graduate,No
LP002140,Male,No,0,Graduate,No
LP002141,Male,Yes,3+,Graduate,No
LP002142,Female,Yes,0,Graduate,Yes
LP002143,Female,Yes,0,Graduate,No
LP002144,Female,No,,Graduate,No
LP002149,Male,Yes,2,Graduate,No
LP002151,Male,Yes,1,Graduate,No
LP002158,Male,Yes,0,Not Graduate,No
LP002160,Male,Yes,3+,Graduate,No
LP002161,Female,No,1,Graduate,No
LP002170,Male,Yes,2,Graduate,No
LP002175,Male,Yes,0,Graduate,No
LP002178,Male,Yes,0,Graduate,No
LP002180,Male,No,0,Graduate,Yes
LP002181,Male,No,0,Not Graduate,No
LP002187,Male,No,0,Graduate,No
LP002188,Male,No,0,Graduate,No
LP002190,Male,Yes,1,Graduate,No
LP002191,Male,Yes,0,Graduate,No
LP002194,Female,No,0,Graduate,Yes
LP002197,Male,Yes,2,Graduate,No
LP002201,Male,Yes,2,Graduate,Yes
LP002205,Male,No,1,Graduate,No
LP002209,Female,No,0,Graduate,No
LP002211,Male,Yes,0,Graduate,No
LP002219,Male,Yes,3+,Graduate,No
LP002223,Male,Yes,0,Graduate,No
LP002224,Male,No,0,Graduate,No
LP002225,Male,Yes,2,Graduate,No
LP002226,Male,Yes,0,Graduate,No
LP002229,Male,No,0,Graduate,No
LP002231,Female,No,0,Graduate,No
LP002234,Male,No,0,Graduate,Yes
LP002236,Male,Yes,2,Graduate,No
LP002237,Male,No,1,Graduate,No
LP002239,Male,No,0,Not Graduate,No
LP002243,Male,Yes,0,Not Graduate,No
LP002244,Male,Yes,0,Graduate,No
LP002250,Male,Yes,0,Graduate,No
LP002255,Male,No,3+,Graduate,No
LP002262,Male,Yes,3+,Graduate,No
LP002263,Male,Yes,0,Graduate,No
LP002265,Male,Yes,2,Not Graduate,No
LP002266,Male,Yes,2,Graduate,No
LP002272,Male,Yes,2,Graduate,No
LP002277,Female,No,0,Graduate,No
LP002281,Male,Yes,0,Graduate,No
LP002284,Male,No,0,Not Graduate,No
LP002287,Female,No,0,Graduate,No
LP002288,Male,Yes,2,Not Graduate,No
LP002296,Male,No,0,Not Graduate,No
LP002297,Male,No,0,Graduate,No
LP002300,Female,No,0,Not Graduate,No
LP002301,Female,No,0,Graduate,Yes
LP002305,Female,No,0,Graduate,No
LP002308,Male,Yes,0,Not Graduate,No
LP002314,Female,No,0,Not Graduate,No
LP002315,Male,Yes,1,Graduate,No
LP002317,Male,Yes,3+,Graduate,No
LP002318,Female,No,1,Not Graduate,Yes
LP002319,Male,Yes,0,Graduate,No
LP002328,Male,Yes,0,Not Graduate,No
LP002332,Male,Yes,0,Not Graduate,No
LP002335,Female,Yes,0,Not Graduate,No
LP002337,Female,No,0,Graduate,No
LP002341,Female,No,1,Graduate,No
LP002342,Male,Yes,2,Graduate,Yes
LP002345,Male,Yes,0,Graduate,No
LP002347,Male,Yes,0,Graduate,No
LP002348,Male,Yes,0,Graduate,No
LP002357,Female,No,0,Not Graduate,No
LP002361,Male,Yes,0,Graduate,No
LP002362,Male,Yes,1,Graduate,No
LP002364,Male,Yes,0,Graduate,No
LP002366,Male,Yes,0,Graduate,No
LP002367,Female,No,1,Not Graduate,No
LP002368,Male,Yes,2,Graduate,No
LP002369,Male,Yes,0,Graduate,No
LP002370,Male,No,0,Not Graduate,No
LP002377,Female,No,1,Graduate,Yes
LP002379,Male,No,0,Graduate,No
LP002386,Male,No,0,Graduate,No
LP002387,Male,Yes,0,Graduate,No
LP002390,Male,No,0,Graduate,No
LP002393,Female,Yes,,Graduate,No
LP002398,Male,No,0,Graduate,No
LP002401,Male,Yes,0,Graduate,No
LP002403,Male,No,0,Graduate,Yes
LP002407,Female,Yes,0,Not Graduate,Yes
LP002408,Male,No,0,Graduate,No
LP002409,Male,Yes,0,Graduate,No
LP002418,Male,No,3+,Not Graduate,No
LP002422,Male,No,1,Graduate,No
LP002424,Male,Yes,0,Graduate,No
LP002429,Male,Yes,1,Graduate,Yes
LP002434,Male,Yes,2,Not Graduate,No
LP002435,Male,Yes,0,Graduate,No
LP002443,Male,Yes,2,Graduate,No
LP002444,Male,No,1,Not Graduate,Yes
LP002446,Male,Yes,2,Not Graduate,No
LP002447,Male,Yes,2,Not Graduate,No
LP002448,Male,Yes,0,Graduate,No
LP002449,Male,Yes,0,Graduate,No
LP002453,Male,No,0,Graduate,Yes
LP002455,Male,Yes,2,Graduate,No
LP002459,Male,Yes,0,Graduate,No
LP002467,Male,Yes,0,Graduate,No
LP002472,Male,No,2,Graduate,No
LP002473,Male,Yes,0,Graduate,No
LP002478,Male,Yes,0,Graduate,Yes
LP002484,Male,Yes,3+,Graduate,No
LP002487,Male,Yes,0,Graduate,No
LP002489,Female,No,1,Not Graduate,No
LP002493,Male,No,0,Graduate,No
LP002494,Male,No,0,Graduate,No
LP002500,Male,Yes,3+,Not Graduate,No
LP002501,Male,Yes,0,Graduate,No
LP002502,Female,Yes,2,Not Graduate,No
LP002505,Male,Yes,0,Graduate,No
LP002515,Male,Yes,1,Graduate,Yes
LP002517,Male,Yes,1,Not Graduate,No
LP002519,Male,Yes,3+,Graduate,No
LP002522,Female,No,0,Graduate,Yes
LP002524,Male,No,2,Graduate,No
LP002527,Male,Yes,2,Graduate,Yes
LP002529,Male,Yes,2,Graduate,No
LP002530,Male,Yes,2,Graduate,No
LP002531,Male,Yes,1,Graduate,Yes
LP002533,Male,Yes,2,Graduate,No
LP002534,Female,No,0,Not Graduate,No
LP002536,Male,Yes,3+,Not Graduate,No
LP002537,Male,Yes,0,Graduate,No
LP002541,Male,Yes,0,Graduate,No
LP002543,Male,Yes,2,Graduate,No
LP002544,Male,Yes,1,Not Graduate,No
LP002545,Male,No,2,Graduate,No
LP002547,Male,Yes,1,Graduate,No
LP002555,Male,Yes,2,Graduate,Yes
LP002556,Male,No,0,Graduate,No
LP002560,Male,No,0,Not Graduate,No
LP002562,Male,Yes,1,Not Graduate,No
LP002571,Male,No,0,Not Graduate,No
LP002582,Female,No,0,Not Graduate,Yes
LP002585,Male,Yes,0,Graduate,No
LP002586,Female,Yes,1,Graduate,No
LP002587,Male,Yes,0,Not Graduate,No
LP002588,Male,Yes,0,Graduate,No
LP002600,Male,Yes,1,Graduate,Yes
LP002602,Male,No,0,Graduate,No
LP002603,Female,No,0,Graduate,No
LP002606,Female,No,0,Graduate,No
LP002615,Male,Yes,2,Graduate,No
LP002618,Male,Yes,1,Not Graduate,No
LP002619,Male,Yes,0,Not Graduate,No
LP002622,Male,Yes,2,Graduate,No
LP002624,Male,Yes,0,Graduate,No
LP002625,Male,No,0,Graduate,No
LP002626,Male,Yes,0,Graduate,Yes
LP002634,Female,No,1,Graduate,No
LP002637,Male,No,0,Not Graduate,No
LP002640,Male,Yes,1,Graduate,No
LP002643,Male,Yes,2,Graduate,No
LP002648,Male,Yes,0,Graduate,No
LP002652,Male,No,0,Graduate,No
LP002659,Male,Yes,3+,Graduate,No
LP002670,Female,Yes,2,Graduate,No
LP002682,Male,Yes,,Not Graduate,No
LP002683,Male,No,0,Graduate,No
LP002684,Female,No,0,Not Graduate,No
LP002689,Male,Yes,2,Not Graduate,No
LP002690,Male,No,0,Graduate,No
LP002692,Male,Yes,3+,Graduate,Yes
LP002693,Male,Yes,2,Graduate,Yes
LP002697,Male,No,0,Graduate,No
LP002699,Male,Yes,2,Graduate,Yes
LP002705,Male,Yes,0,Graduate,No
LP002706,Male,Yes,1,Not Graduate,No
LP002714,Male,No,1,Not Graduate,No
LP002716,Male,No,0,Not Graduate,No
LP002717,Male,Yes,0,Graduate,No
LP002720,Male,Yes,3+,Graduate,No
LP002723,Male,No,2,Graduate,No
LP002729,Male,No,1,Graduate,No
LP002731,Female,No,0,Not Graduate,Yes
LP002732,Male,No,0,Not Graduate,No
LP002734,Male,Yes,0,Graduate,No
LP002738,Male,No,2,Graduate,No
LP002739,Male,Yes,0,Not Graduate,No
LP002740,Male,Yes,3+,Graduate,No
LP002741,Female,Yes,1,Graduate,No
LP002743,Female,No,0,Graduate,No
LP002753,Female,No,1,Graduate,Yes
LP002755,Male,Yes,1,Not Graduate,No
LP002757,Female,Yes,0,Not Graduate,No
LP002767,Male,Yes,0,Graduate,No
LP002768,Male,No,0,Not Graduate,No
LP002772,Male,No,0,Graduate,No
LP002776,Female,No,0,Graduate,No
LP002777,Male,Yes,0,Graduate,No
LP002778,Male,Yes,2,Graduate,Yes
LP002784,Male,Yes,1,Not Graduate,No
LP002785,Male,Yes,1,Graduate,No
LP002788,Male,Yes,0,Not Graduate,No
LP002789,Male,Yes,0,Graduate,No
LP002792,Male,Yes,1,Graduate,No
LP002794,Female,No,0,Graduate,No
LP002795,Male,Yes,3+,Graduate,Yes
LP002798,Male,Yes,0,Graduate,No
LP002804,Female,Yes,0,Graduate,No
LP002807,Male,Yes,2,Not Graduate,No
LP002813,Female,Yes,1,Graduate,Yes
LP002820,Male,Yes,0,Graduate,No
LP002821,Male,No,0,Not Graduate,Yes
LP002832,Male,Yes,2,Graduate,No
LP002833,Male,Yes,0,Not Graduate,No
LP002836,Male,No,0,Graduate,No
LP002837,Male,Yes,3+,Graduate,No
LP002840,Female,No,0,Graduate,No
LP002841,Male,Yes,0,Graduate,No
LP002842,Male,Yes,1,Graduate,No
LP002847,Male,Yes,,Graduate,No
LP002855,Male,Yes,2,Graduate,No
LP002862,Male,Yes,2,Not Graduate,No
LP002863,Male,Yes,3+,Graduate,No
LP002868,Male,Yes,2,Graduate,No
LP002872,Male,Yes,0,Graduate,No
LP002874,Male,No,0,Graduate,No
LP002877,Male,Yes,1,Graduate,No
LP002888,Male,No,0,Graduate,Yes
LP002892,Male,Yes,2,Graduate,No
LP002893,Male,No,0,Graduate,No
LP002894,Female,Yes,0,Graduate,No
LP002898,Male,Yes,1,Graduate,No
LP002911,Male,Yes,1,Graduate,No
LP002912,Male,Yes,1,Graduate,No
LP002916,Male,Yes,0,Graduate,No
LP002917,Female,No,0,Not Graduate,No
LP002925,Male,No,0,Graduate,No
LP002926,Male,Yes,2,Graduate,Yes
LP002928,Male,Yes,0,Graduate,No
LP002931,Male,Yes,2,Graduate,Yes
LP002933,Male,No,3+,Graduate,Yes
LP002936,Male,Yes,0,Graduate,No
LP002938,Male,Yes,0,Graduate,Yes
LP002940,Male,No,0,Not Graduate,No
LP002941,Male,Yes,2,Not Graduate,Yes
LP002943,Male,No,,Graduate,No
LP002945,Male,Yes,0,Graduate,Yes
LP002948,Male,Yes,2,Graduate,No
LP002949,Female,No,3+,Graduate,Yes
LP002950,Male,Yes,0,Not Graduate,Yes
LP002953,Male,Yes,3+,Graduate,No
LP002958,Male,No,0,Graduate,No
LP002959,Female,Yes,1,Graduate,No
LP002960,Male,Yes,0,Not Graduate,No
LP002961,Male,Yes,1,Graduate,No
LP002964,Male,Yes,2,Not Graduate,No
LP002974,Male,Yes,0,Graduate,No
LP002978,Female,No,0,Graduate,No
LP002979,Male,Yes,3+,Graduate,No
LP002983,Male,Yes,1,Graduate,No
LP002984,Male,Yes,2,Graduate,No
LP002990,Female,No,0,Graduate,Yes
